"Draft Planner Cheat Sheet",ADP2,Average Draft Position from Draft Planner,08/07/2014,387
Rank,ID,"Last Name","First Name",Position,Team,ADP,"Bye Week"
349,10862,Bullock,Randy,K,HOU,288.06,10
350,9802,Reece,Marcel,RB,OAK,288.99,5
351,9444,Pettigrew,Brandon,TE,DET,290.16,9
352,10700,Cousins,Kirk,QB,WAS,290.54,10
353,11662,Wilder,James,RB,CIN,290.91,4
354,11645,Mettenberger,Zach,QB,TEN,291.25,9
355,10723,Sanu,Mohamed,WR,CIN,291.31,4
356,10333,Housler,Robert,TE,ARZ,291.53,4
357,11210,Robinson,Denard,RB,JAC,291.91,11
358,11755,Herron,Robert,WR,TBB,292.22,7
359,11760,Garoppolo,Jimmy,QB,NEP,292.31,10
360,7859,Nugent,Mike,K,CIN,292.88,4
361,10487,Forbath,Kai,K,WAS,293.12,10
362,10268,Mallett,Ryan,QB,NEP,293.18,10
363,11384,Sturgis,Caleb,K,MIA,296.08,5
364,11691,Gallon,Jeremy,WR,NEP,296.51,10
365,10973,Beasley,Cole,WR,DAL,297.07,11
366,11687,Street,Devin,WR,DAL,297.51,11
367,10338,Brown,Vincent,WR,SDC,297.62,10
368,9040,Avery,Donnie,WR,KCC,298.41,6
369,10464,Ausberry,David,TE,OAK,298.56,5
370,11647,Thomas,Logan,QB,ARZ,299.24,4
371,8673,Ginn Jr.,Ted,WR,ARZ,300.57,4
372,11448,Harris,Demetrius,TE,KCC,304.02,6
373,10298,Williams,Ryan,RB,DAL,304.16,11
374,8679,Rice,Sidney,WR,FA,307.97,
375,11798,Norwood,Kevin,WR,SEA,309.51,4
376,7527,Scobee,Josh,K,JAC,310.02,11
377,10731,Toon,Nick,WR,NOR,310.57,6
378,10735,Quick,Brian,WR,STL,312.41,4
379,8683,Miller,Zach,TE,SEA,312.62,4
380,10978,Cadet,Travaris,RB,NOR,313.17,6
381,10369,Powell,Bilal,RB,NYJ,314.97,11
382,8772,Jones,Jacoby,WR,BAL,315.31,11
383,10281,Leshoure,Mikel,RB,DET,316.10,9
384,11219,King,Tavarres,WR,CAR,321.72,12
385,11886,Williams,Damien,RB,MIA,332.68,5
386,11257,McDonald,Vance,TE,SFO,333.74,8
387,11648,Murray,Aaron,QB,KCC,335.64,6
